,0
salt,20
olive oil,13
dried oregano,2
garlic cloves,16
feta cheese crumbles,1
extra-virgin olive oil,5
fresh lemon juice,3
ground black pepper,14
garlic,17
pepper,11
feta cheese,1
cucumber,2
purple onion,1
onions,19
lemon juice,1
tomatoes,5
water,20
lemon,1
fresh parsley,3
fresh dill,2
butter,8
all-purpose flour,7
sugar,15
large eggs,6
baking powder,3
unsalted butter,5
milk,5
buttermilk,2
eggs,11
vanilla extract,3
vegetable oil,13
baking soda,3
kosher salt,4
soy sauce,7
oil,4
carrots,11
fish sauce,3
bay leaves,3
cooking oil,1
brown sugar,4
coconut milk,4
vinegar,1
green onions,7
garam masala,1
ground turmeric,1
cumin seed,1
ground cumin,3
ginger,4
tumeric,2
chili powder,2
green chilies,1
curry powder,2
ground coriander,2
fresh ginger,4
ground allspice,1
scallions,5
dried thyme,2
black pepper,2
ground cinnamon,2
thyme,1
red bell pepper,2
dry white wine,3
saffron threads,1
paprika,2
flat leaf parsley,1
grated parmesan cheese,1
fresh basil,1
jalapeno chilies,1
sour cream,2
avocado,1
corn tortillas,1
salsa,1
chopped cilantro fresh,2
flour tortillas,1
black beans,2
lime,3
sesame oil,3
corn starch,1
rice vinegar,4
oyster sauce,1
hoisin sauce,1
heavy cream,2
flour,2
potatoes,3
fresh lime juice,2
shallots,3
lemongrass,1
lime juice,2
cilantro leaves,2
beansprouts,1
green bell pepper,1
cayenne pepper,1
cajun seasoning,1
celery,1
andouille sausage,1
creole seasoning,1
shrimp,1
cachaca,1
sweetened condensed milk,1
large egg yolks,1
mirin,1
sake,1
sesame seeds,2
dashi,1
cabbage,1
Gochujang base,1
toasted sesame seeds,1
kimchi,1
ground ginger,1
couscous,1
chickpeas,1
cinnamon,1
beets,1
